,uuid,cities,full_address,latitude,longitude,volume_rain_7days
0,60eee7d9-c008-442a-8090-c0381f98f202,Mont Saint Michel,"Mont Saint-Michel, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",48.6359541,-1.511459954959514,4.527
1,c7709a91-35a8-4c5b-be64-3dc0cc7bbf2c,St Malo,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France",48.649518,-2.0260409,5.293
2,d9886ffa-715c-474e-8a62-6ed346e6a800,Bayeux,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France",49.2764624,-0.7024738,2.763
3,5f906f5b-e02a-4cfb-a496-f76ee228ab4a,Le Havre,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France",49.4938975,0.1079732,3.91
4,1e5c7708-7d02-4603-a2b5-d782e856d07e,Rouen,"Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France",49.4404591,1.0939658,1.83
5,fbff07a5-1bc5-4baa-a2f3-dfefee96aee5,Paris,"Paris, Île-de-France, France métropolitaine, France",48.8588897,2.3200410217200766,1.874
6,a76e1f6e-70ec-4777-b4e0-cd089d18ab34,Amiens,"Amiens, Somme, Hauts-de-France, France métropolitaine, 80000, France",49.8941708,2.2956951,1.86
7,c114efbc-78cd-4995-8f0b-d25bf59b02de,Lille,"Lille, Nord, Hauts-de-France, France métropolitaine, 59800, France",50.6365654,3.0635282,1.936
8,4973f393-84a1-4d32-8e37-091a49441359,Strasbourg,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",48.584614,7.7507127,0.628
9,54530d3e-65da-4b6d-8c03-696813a9eb83,Chateau du Haut Koenigsbourg,"Château du Haut-Kœnigsbourg, Chemin fermé suite  à travaux, Château du Haut-Kœnigsbourg, Orschwiller, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France",48.249489800000006,7.34429620253195,0.183
10,002a190b-4e86-4736-9713-ecb4c17c49cd,Colmar,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France",48.0777517,7.3579641,0.759
11,bcec7a26-6027-4ee3-b837-d3613b243fc2,Eguisheim,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France",48.0447968,7.3079618,0.807
12,bc84d9e7-bb6d-45f4-a8ae-d433063d8c49,Besancon,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",47.2380222,6.0243622,2.619
13,03349ffc-a068-4afd-94ac-11e5242b1104,Dijon,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",47.3215806,5.0414701,2.302
14,9b410818-05f8-41ea-a006-7004ca8de7ba,Annecy,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",45.8992348,6.1288847,2.488
15,edc375e2-61a1-41cb-a168-a0969503ae14,Grenoble,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",45.1875602,5.7357819,3.176
16,1195a4c6-64fc-4343-9647-456a6f2f5156,Lyon,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",45.7578137,4.8320114,5.001
17,c2163075-ca19-4eab-a5f5-6c94cf1c708d,Gorges du Verdon,"Gorges du Verdon, Route des Crêtes, Les Ferrailles, La Palud-sur-Verdon, Castellane, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04120, France",43.7496562,6.3285616,1.318
18,14df1d84-2446-42bd-b800-9f786aa30514,Bormes les Mimosas,"Bormes-les-Mimosas, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83230, France",43.1572172,6.329253867921363,1.168
19,a2f53da0-c85c-4a0e-8dd6-d0e626fb7d94,Cassis,"Cassis, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13260, France",43.2140359,5.5396318,0.951
20,7cbce5a3-f58f-4024-b3ea-56fdc38658b3,Marseille,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13000, France",43.2961743,5.3699525,1.015
21,961a7ab8-c8b8-404c-bc46-d6c804e26ad8,Aix en Provence,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.5298424,5.4474738,1.2
22,6a948483-350a-4eb7-b40d-f2e088097da5,Avignon,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France",43.9492493,4.8059012,1.4
23,50d42927-7069-4b1a-a5f7-e932c5a7d7cd,Uzes,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France",44.0121279,4.4196718,1.549
24,e0ca500f-9239-4a1d-8115-cffb2438ef33,Nimes,"Nîmes, Gard, Occitanie, France métropolitaine, France",43.8374249,4.3600687,1.284
25,95e326a8-4092-4790-89f5-ec35bbe2a71f,Aigues Mortes,"Aigues-Mortes, Nîmes, Gard, Occitanie, France métropolitaine, 30220, France",43.5658225,4.1912837,1.135
26,3c1e72fa-a87c-4203-aa10-7ba56105d108,Saintes Maries de la mer,"Saintes-Maries-de-la-Mer, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13460, France",43.4522771,4.4287172,1.009
27,b3fce885-d50c-432f-86bd-130911aadd4d,Collioure,"Collioure, Céret, Pyrénées-Orientales, Occitanie, France métropolitaine, 66190, France",42.52505,3.0831554,0.505
28,fa7e7a41-3ef3-404a-803e-1dd9ec5d1138,Carcassonne,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France",43.2130358,2.3491069,5.514
29,a4c0db03-d019-4c1c-b45b-1b3fd296abf0,Ariege,"Ariège, Occitanie, France métropolitaine, France",42.9455368,1.4065544156065486,1.114
30,84f7b27f-ea70-4d0f-903c-c27882b48ab3,Toulouse,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6044622,1.4442469,4.221
31,675bdfab-6ee3-49c8-b7f9-a09f0cfe2a64,Montauban,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France",44.0175835,1.3549991,4.625
32,cfe2575b-df7c-4e70-baf4-291e059b3780,Biarritz,"Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France",43.471143749999996,-1.552726590666314,14.612
33,335bb9fe-ef50-4649-aab7-c448aa656efc,Bayonne,"Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France",43.4933379,-1.475099,14.992
34,be490f70-e96b-4e25-8d54-c6eca4b69bf0,La Rochelle,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France",46.1591126,-1.1520434,6.476
